example,yor
demesdraw,python312Packages.demesdraw
jsonlint,python312Packages.demjson3
defang,python311Packages.defang
deid,python312Packages.deid
demes,python311Packages.demes
ddls,python312Packages.deepdish
deepl,python312Packages.deepl
deep,deepdiff
deemix,python312Packages.deemix
debts,python312Packages.debts
dltr,python312Packages.debuglater
debuglater,python312Packages.debuglater
dicom2nifti,python312Packages.dicom2nifti
dbus-interface-vcs-helper,python312Packages.dbus-deviation
dbus-interface-diff,python311Packages.dbus-deviation
protoc-gen-dazl-python,python312Packages.dazl
dazl,python311Packages.dazl
nitool,python312Packages.dcmstack
dcmstack,python312Packages.dcmstack
datediff,dateutils
dateadd,dateutils
dateparser-download,python311Packages.dateparser
datasets-cli,python312Packages.datasets
dbfs,python312Packages.databricks-cli
databricks,python312Packages.databricks-cli
dogwrap,python312Packages.datadog
dogshellwrap,python312Packages.datadog
dogshell,python312Packages.datadog
wiz,python312Packages.dataclass-wizard
dask-yarn,python312Packages.dask-yarn
dask-mpi,python312Packages.dask-mpi
dask-gateway-server,python312Packages.dask-gateway-server
dask-gateway-jobqueue-launcher,python312Packages.dask-gateway-server
renderer,python312Packages.dash
dash-update-components,python311Packages.dash
dash-generate-components,python312Packages.dash
dahlia,python312Packages.dahlia
dask,python312Packages.dask
cythonize,python312Packages.cython
cython,python312Packages.cython
cygdb,python312Packages.cython
cysignals-CSI,python312Packages.cysignals
interpolate-cypherpunkpay-conf-on-first-install,python312Packages.cypherpunkpay
cypherpunkpay,python312Packages.cypherpunkpay
cwl-format,python312Packages.cwlformat
cwl-explode,python312Packages.cwlformat
cwl-upgrader,python312Packages.cwl-upgrader
cwl-normalizer,python312Packages.cwl-utils
cwl-graph-split,python312Packages.cwl-utils
cwl-expression-refactor,python312Packages.cwl-utils
cwl-docker-extract,python312Packages.cwl-utils
cwl-cite-extract,python312Packages.cwl-utils
cvss_calculator,python312Packages.cvss
cu2qu,python312Packages.cu2qu
cssparse,python311Packages.cssutils
csscombine,python311Packages.cssutils
csscapture,python311Packages.cssutils
csrmesh-util,python312Packages.csrmesh
csrmesh-cli,python312Packages.csrmesh
cssmin,python312Packages.cssmin
css-beautify,python312Packages.cssbeautifier
handshake_to_json,python312Packages.cryptolyzer
cryptolyze,python312Packages.cryptolyzer
crytic-compile,python312Packages.crytic-compile
criticality_score,python312Packages.criticality-score
daff.py,python312Packages.daff
daff,python311Packages.daff
cram,python312Packages.cram
craft-providers,python311Packages.craft-providers
craftctl,python312Packages.craft-parts
coveralls,python312Packages.coveralls
langchain-server,python312Packages.langchain
coverage3,python312Packages.coverage
coverage,python312Packages.coverage
courlan,python311Packages.courlan
daphne,python312Packages.daphne
correction,python311Packages.correctionlib
langsmith,python312Packages.langsmith
container_inspector_squash,python312Packages.container-inspector
container_inspector_dockerfile,python312Packages.container-inspector
container_inspector,python312Packages.container-inspector
connexion,python312Packages.connexion
censusgeocode,python311Packages.convertdate
confight,python312Packages.confight
cph,python312Packages.conda-package-handling
compiledb,python312Packages.compiledb
conda,python312Packages.conda
upload_theme,python311Packages.gradio
gradio,python312Packages.gradio
colout,python312Packages.colout
compreffor,python311Packages.compreffor
codecov,python312Packages.codecov
coinmetrics,python312Packages.coinmetrics-api-client
exampleresources.py,python312Packages.coapthon3
coapserver.py,python312Packages.coapthon3
coapreverseproxy.py,python312Packages.coapthon3
coapforwardproxy.py,python312Packages.coapthon3
coapclient.py,python312Packages.coapthon3
coconut-v3.1.0-run,coconut
coconut-v3.1.0,coconut
coconut-v3.1-run,coconut
coconut-v3.1,python312Packages.coconut
coconut-v3-run,python312Packages.coconut
coconut-v3,coconut
coconut-run,coconut
coconut-release-run,coconut
coconut-release,coconut
coconut-py3-run,python312Packages.coconut
coconut-py3,coconut
ctest,cmake
cpack,cmake
cnvkit.py,python312Packages.cnvkit
install_cxx_toolchain,python312Packages.cmdstanpy
install_cmdstan,python312Packages.cmdstanpy
cloudsplaining,python312Packages.cloudsplaining
cli4,python312Packages.cloudflare
ctgen,clickgen
click-odoo-update,python312Packages.click-odoo-contrib
click-odoo-uninstall,python312Packages.click-odoo-contrib
click-odoo-restoredb,python312Packages.click-odoo-contrib
click-odoo-makepot,python312Packages.click-odoo-contrib
click-odoo-listdb,python312Packages.click-odoo-contrib
click-odoo-initdb,python312Packages.click-odoo-contrib
click-odoo-dropdb,python312Packages.click-odoo-contrib
click-odoo-copydb,python312Packages.click-odoo-contrib
click-odoo-backupdb,python312Packages.click-odoo-contrib
click-odoo,python312Packages.click-odoo
cliche,python312Packages.cliche
clf,python312Packages.clf
csl_unsorted,python312Packages.citeproc-py
ckcc,python311Packages.ckcc-protocol
circusd-stats,circus
circusd,circus
circusctl,circus
circus-top,circus
circus-plugin,circus
cheroot,python311Packages.cheroot
chat_downloader,python312Packages.chat-downloader
search_person.py,python312Packages.cinemagoer
search_movie.py,python312Packages.cinemagoer
search_keyword.py,python312Packages.cinemagoer
search_company.py,python312Packages.cinemagoer
s32cinemagoer.py,python312Packages.cinemagoer
imdbpy2sql.py,python312Packages.cinemagoer
imdbpy,python312Packages.cinemagoer
get_top_bottom_movies.py,python312Packages.cinemagoer
get_person.py,python312Packages.cinemagoer
get_movie_list.py,python312Packages.cinemagoer
get_movie.py,python312Packages.cinemagoer
get_keyword.py,python312Packages.cinemagoer
get_first_person.py,python312Packages.cinemagoer
get_first_movie.py,python312Packages.cinemagoer
get_first_company.py,python312Packages.cinemagoer
get_company.py,python312Packages.cinemagoer
check-manifest,python312Packages.check-manifest
chevron,python312Packages.chevron
normalizer,python312Packages.charset-normalizer
cherryd,python312Packages.cherrypy
chardetect,python312Packages.chardet
cffsubr,python312Packages.cffsubr
chalice,python312Packages.chalice
cfn-lint,python312Packages.cfn-lint
cfn-flip,python311Packages.cfn-flip
certauth,python311Packages.certauth
censys,python312Packages.censys
cert-chain-resolver,python312Packages.cert-chain-resolver
cement,python312Packages.cement
celery,python312Packages.celery
catkin_test_changelog,python312Packages.catkin-pkg
catkin_tag_changelog,python312Packages.catkin-pkg
catkin_prepare_release,python312Packages.catkin-pkg
catkin_package_version,python311Packages.catkin-pkg
catkin_generate_changelog,python312Packages.catkin-pkg
catkin_find_pkg,python312Packages.catkin-pkg
catkin_create_pkg,python312Packages.catkin-pkg
cart,python311Packages.cart
cbor2,python312Packages.cbor2
cheetah-compile,python312Packages.cheetah3
cheetah-analyze,python312Packages.cheetah3
cheetah,python312Packages.cheetah3
camelot,python312Packages.camelot
cantools,python312Packages.cantools
can_viewer,python312Packages.can
can_player,python312Packages.can
can_logger,python312Packages.can
can_logconvert,python312Packages.can
calmjs,python312Packages.calmjs
calysto-scheme-debug,python312Packages.calysto-scheme
calysto-scheme,python312Packages.calysto-scheme
cairosvg,python312Packages.cairosvg
doesitcache,python312Packages.cachecontrol
cachier,python312Packages.cachier
pyproject-build,python312Packages.build
buienradar,python311Packages.buienradar
bumps,python311Packages.bumps
bugzilla,python312Packages.bugzilla
btrfs-usage-report,python312Packages.btrfs
btrfs-space-calculator,python312Packages.btrfs
btrfs-search-metadata,python312Packages.btrfs
btrfs-orphan-cleaner-progress,python312Packages.btrfs
btrfs-balance-least-used,python311Packages.btrfs
bugz,python312Packages.bugz
bspatch4,python311Packages.bsdiff4
bsdiff4,python312Packages.bsdiff4
breathe-apidoc,python312Packages.breathe
git-remote-bzr,breezy
bzr-upload-pack,python312Packages.breezy
bzr-receive-pack,breezy
bzr,python312Packages.breezy
brz,python312Packages.breezy
bpython-urwid,python312Packages.bpython
bpython-curses,python312Packages.bpython
bpython,python312Packages.bpython
bpdb,python312Packages.bpython
boschshc_registerclient,python312Packages.boschshcpy
boschshc_rawscan,python312Packages.boschshcpy
brother_ql_print,python311Packages.brother-ql
brother_ql_info,python312Packages.brother-ql
brother_ql_debug,python312Packages.brother-ql
brother_ql_create,python312Packages.brother-ql
brother_ql_analyse,python312Packages.brother-ql
brother_ql,python312Packages.brother-ql
bottle.py,python312Packages.bottle
bokeh,python312Packages.bokeh
btp2,python312Packages.boltztrap2
bme280spi,python312Packages.bme280spi
blinkstick,python311Packages.blinkstick
bloodhound-python,bloodhound-py
bloodyAD,python312Packages.bloodyad
bw,bitwarden-cli
thingy52,python311Packages.bluepy
sensortag,python311Packages.bluepy
blescan,python311Packages.bluepy
blackd,black
bitmath,python312Packages.bitmath
bincopy,python312Packages.bincopy
ivitools,python311Packages.bilibili-api-python
bilibili-api-docs,python311Packages.bilibili-api-python
bimmerconnected,python312Packages.bimmer-connected
biom,python312Packages.biom-format
bellows,python312Packages.bellows
upload-to-sheets,beancount
treeify,python312Packages.beancount
bean-web,beancount
bean-sql,beancount
bean-report,beancount
bean-query,beancount
bean-price,beancount
bean-identify,beancount
bean-format,beancount
bean-file,beancount
bean-extract,beancount
bean-example,beancount
bean-doctor,beancount
bean-check,beancount
bean-bake,beancount
bean-black,beancount-black
bh,beanhub-cli
bc_jsonpath_ng,python311Packages.bc-jsonpath-ng
bcf,python312Packages.bcf
bch,python312Packages.bch
hcl2tojson,python312Packages.bc-python-hcl2
base58,python312Packages.base58
baseline,python312Packages.baseline
barectf,python312Packages.barectf
bagit.py,python312Packages.bagit
babelfont,python312Packages.babelfont
pybabel,python312Packages.babel
bandit-config-generator,python312Packages.bandit
bandit-baseline,bandit
diff-quality,python312Packages.diff-cover
diff-cover,python312Packages.diff-cover
axis,python311Packages.axis
lambda-builders,python312Packages.aws-lambda-builders
aw-cli,python312Packages.aw-core
autopep8,python312Packages.autopep8
aw-client,python312Packages.aw-client
avro,python312Packages.avro
pyav,python312Packages.av
autotrash,python312Packages.autotrash
automat-visualize,python312Packages.automat
xbrnetwork-ui,python312Packages.autobahn
xbrnetwork,python311Packages.autobahn
wamp,python312Packages.autobahn
auth_capture_proxy,python312Packages.authcaptureproxy
autoit-ripper,python312Packages.autoit-ripper
dmarc-policy-find,python312Packages.authheaders
auditok,python312Packages.auditok
trackverify,python312Packages.audiotools
tracktag,python312Packages.audiotools
tracksplit,python312Packages.audiotools
trackrename,python312Packages.audiotools
trackplay,python312Packages.audiotools
tracklint,python312Packages.audiotools
tracklength,python312Packages.audiotools
trackinfo,python312Packages.audiotools
trackcmp,python312Packages.audiotools
trackcat,python312Packages.audiotools
track2track,python312Packages.audiotools
track2cdda,python312Packages.audiotools
coverview,python312Packages.audiotools
covertag,python312Packages.audiotools
coverdump,python312Packages.audiotools
audiotools-config,python312Packages.audiotools
potable,python312Packages.atsim-potentials
attacut-cli,python312Packages.attacut
pductl,python312Packages.atenpdu
aubiocut,python312Packages.aubio
aubio,python312Packages.aubio
asysocks-tunnel,python312Packages.asysocks
asysocks-sec,python312Packages.asysocks
asysocks-proxy,python312Packages.asysocks
asysocks-portscan,python312Packages.asysocks
asysocks-brute,python312Packages.asysocks
upnp-client,python312Packages.async-upnp-client
wcslint,python312Packages.astropy
volint,python312Packages.astropy
showtable,python312Packages.astropy
samp_hub,python312Packages.astropy
fitsinfo,python312Packages.astropy
fitsheader,python312Packages.astropy
fitsdiff,python312Packages.astropy
fitscheck,python312Packages.astropy
fits2bitmap,python312Packages.astropy
asn1ate,python311Packages.asn1ate
asn1tools,python312Packages.asn1tools
asdftool,python311Packages.asdf
ase-run,python312Packages.ase
ase-info,python312Packages.ase
ase-gui,python312Packages.ase
ase-db,python312Packages.ase
ase-build,python312Packages.ase
ase,python312Packages.ase
art,python312Packages.art
arxiv2bib,python311Packages.arxiv2bib
arsenic-configure-ie11,python312Packages.arsenic
arsenic-check-ie11,python312Packages.arsenic
aria2p,python312Packages.aria2p
register-python-argcomplete,python312Packages.argcomplete
python-argcomplete-check-easy-install-script,python311Packages.argcomplete
activate-global-python-argcomplete,python312Packages.argcomplete
archspec,python312Packages.archspec
gowin_unpack,python312Packages.apycula
gowin_pll,python312Packages.apycula
gowin_pack,python312Packages.apycula
gowin_bba,python312Packages.apycula
arcam-fmj,python312Packages.arcam-fmj
argilla,python312Packages.argilla
aranetctl,python312Packages.aranet4
vdb,python312Packages.appthreat-vulnerability-db
apkInspector,python312Packages.apkinspector
apcaccess,apcupsd
aoce,aocd
aocd-token,aocd
aoc,aocd
anybadge-server,anybadge
pygrun,python312Packages.antlr4-python3-runtime
anonip,python311Packages.anonip
anyconfig_cli,python312Packages.anyconfig
ansible-runner,python312Packages.ansible-runner
ansible-vault,ansible
ansible-test,ansible
ansible-pull,ansible
ansible-playbook,ansible
ansible-inventory,ansible
ansible-galaxy,ansible
ansible-doc,ansible
ansible-console,ansible
ansible-connection,ansible
ansible-config,ansible
ansible-community,python312Packages.ansible
ansi2image,python312Packages.ansi2image
android-backup-unpack,python312Packages.android-backup
android-backup-pack,python312Packages.android-backup
amqtt_sub,python312Packages.amqtt
amqtt_pub,python312Packages.amqtt
amqtt,python312Packages.amqtt
androsign,androguard
androlyze,androguard
androgui,androguard
androdis,androguard
androdd,androguard
androcg,python312Packages.androguard
androaxml,python312Packages.androguard
androarsc,python312Packages.androguard
androapkid,androguard
amcrest-tui,python312Packages.amcrest
amcrest-cli,python311Packages.amcrest
amarna,python312Packages.amarna
amaranth-rpc,python312Packages.amaranth
ad2-sslterm,python312Packages.alarmdecoder
ad2-firmwareupload,python311Packages.alarmdecoder
alembic,python312Packages.alembic
airium,python311Packages.airium
async-json-rpc-server,python312Packages.ajsonrpc
anthemav_monitor,python312Packages.anthemav
awinreg,python311Packages.aiowinreg
aiozeroconf,python311Packages.aiozeroconf
aiounifi,python311Packages.aiounifi
aiosmtpd,python312Packages.aiosmtpd
asmbshareenum,python311Packages.aiosmb
asmbscanner,python312Packages.aiosmb
asmbgetfile,python311Packages.aiosmb
asmbclient,python311Packages.aiosmb
asmbcertreq,python311Packages.aiosmb
alectryon,python312Packages.alectryon
aiortm,python311Packages.aiortm
pvprompt,python311Packages.aiopvapi
pv_dongle,python311Packages.aiopvapi
aiopylgtvcommand,python312Packages.aiopylgtv
protoc-gen-python_betterproto,python312Packages.betterproto
aiomysensors,python311Packages.aiomysensors
aiolifx,python311Packages.aiolifx
aiohttp-wsgi-serve,python312Packages.aiohttp-wsgi
aioharmony,python311Packages.aioharmony
aiohomekitctl,python312Packages.aiohomekit
aioesphomeapi-logs,python312Packages.aioesphomeapi
aioesphomeapi-discover,python311Packages.aioesphomeapi
my_example,python312Packages.aioemonitor
ecowitt-testserver,python311Packages.aioecowitt
aiobroadlink,python311Packages.aiobroadlink
biketrax,python311Packages.aiobiketrax
apython,python312Packages.aioconsole
aiocoap-rd,python312Packages.aiocoap
aiocoap-proxy,python312Packages.aiocoap
aiocoap-fileserver,python312Packages.aiocoap
aiocoap-client,python312Packages.aiocoap
aiobafi6,python312Packages.aiobafi6
antdsparse,python312Packages.aesedb
waterfallplot,python312Packages.afdko
type1,python311Packages.afdko
ttxn,python312Packages.afdko
ttfdecomponentizer,python312Packages.afdko
ttfcomponentizer,python312Packages.afdko
sfntedit,python312Packages.afdko
sfntdiff,python312Packages.afdko
rotatefont,python312Packages.afdko
otfstemhist,python312Packages.afdko
otfautohint,python312Packages.afdko
otf2ttf,python312Packages.afdko
otf2otc,python312Packages.afdko
otc2otf,python312Packages.afdko
mergefonts,python312Packages.afdko
makeotfexe,python311Packages.afdko
makeotf,python312Packages.afdko
makeinstancesufo,python312Packages.afdko
hintplot,python312Packages.afdko
fontsetplot,python312Packages.afdko
fontplot2,python312Packages.afdko
fontplot,python312Packages.afdko
digiplot,python312Packages.afdko
detype1,python312Packages.afdko
comparefamily,python312Packages.afdko
checkoutlinesufo,python312Packages.afdko
charplot,python312Packages.afdko
buildmasterotfs,python312Packages.afdko
buildcff2vf,python312Packages.afdko
pyfastboot,python312Packages.adb-homeassistant
pyadb,python312Packages.adb-homeassistant
adbe,python312Packages.adb-enhanced
add-trailing-comma,python312Packages.add-trailing-comma
acme-tiny,python312Packages.acme-tiny
acquire-decrypt,acquire
accelerate-launch,python312Packages.accelerate
accelerate-estimate-memory,python312Packages.accelerate
accelerate-config,python312Packages.accelerate
accelerate,python312Packages.accelerate
ardpscan,python312Packages.aardwolf
aafigure,python312Packages.aafigure
toco_from_protos,python311Packages.tensorflow
toco,python311Packages.tensorflow
tflite_convert,python311Packages.tensorflow
tf_upgrade_v2,python311Packages.tensorflow
saved_model_cli,python311Packages.tensorflow
import_pb_to_tensorboard,python311Packages.tensorflow
paperwork-json,paperwork
paperwork-cli,python311Packages.paperwork-shell
usdrecord,openusd
usdGenSchema,openusd
usdBakeMaterialX,python311Packages.openusd
mlflow,mlflow-server
deluge-web,deluge
deluge-console,deluge
python3.13-config,python313
python3.13,python313
pydoc3.13,python313
idle3.13,python313
python3.9-config,python39
python3.9,python39
pydoc3.9,python39
idle3.9,python39
2to3-3.9,python39
python3.10-config,python310
python3.10,python310
pydoc3.10,python310
idle3.10,python310
2to3-3.10,python310
python3.12-config,python312
python3.12,python312
pydoc3.12,python312
idle3.12,python312
2to3-3.12,python312
pd,puredata
version,pwntools
scramble,libstaden-read
errno,moreutils
minecraft-server,papermc
pscp,putty
bolt,puppet-bolt
pasuspender,pulseaudio
parecord,pulseaudio
parec,pulseaudio
paplay,pulseaudio
pamon,pulseaudio
padsp,pulseaudio
pactl,pulseaudio
pacmd,pulseaudio
pacat,pulseaudio
pa-info,pulseaudio
psysh,php83Packages.psysh
ptxinfo,ptex
psalter,php83Packages.psalm
psalm-refactor,php83Packages.psalm
psalm-plugin,php83Packages.psalm
psalm-language-server,php83Packages.psalm
psalm,php83Packages.psalm
protonvpn,protonvpn-cli_2
pipeline,prow
hook,prow
exporter,prometheus-fritzbox-exporter
proxychains4,proxychains-ng
fuser,psmisc
replay,beluga
pl,ploticus
protoc,protobuf
renamer,pipe-rename
projsync,proj
projinfo,proj
gie,proj
geod,proj
cs2cs,proj
cct,proj
pwait,procps
kde-print-queue,kdePackages.print-manager
kde-add-printer,kdePackages.print-manager
configure-printer,kdePackages.print-manager
ppsspp-headless,ppsspp
chat,ppp
calico,calico-cni-plugin
vacuumlo,postgresql
vacuumdb,postgresql_16
reindexdb,postgresql
psql,postgresql
postgres,postgresql
pgbench,postgresql_16
pg_waldump,postgresql
pg_verifybackup,postgresql
pg_upgrade,postgresql_16
pg_test_timing,postgresql
pg_test_fsync,postgresql_16
pg_rewind,postgresql
pg_restore,postgresql
pg_resetwal,postgresql
pg_recvlogical,postgresql_16
pg_receivewal,postgresql_16
pg_isready,postgresql
pg_dumpall,postgresql
pg_dump,postgresql
pg_ctl,postgresql
pg_controldata,postgresql_16
pg_config,postgresql
pg_checksums,postgresql_16
pg_basebackup,postgresql_16
pg_archivecleanup,postgresql
pg_amcheck,postgresql_16
oid2name,postgresql
initdb,postgresql_16
ecpg,postgresql
dropuser,postgresql
dropdb,postgresql
createuser,postgresql
createdb,postgresql
clusterdb,postgresql_16
postmaster,postgresql
pg_standby,postgresql_13
shp2pgsql-3.4.2,postgresql16Packages.postgis
shp2pgsql,postgresql16Packages.postgis
raster2pgsql-3.4.2,postgresql16Packages.postgis
raster2pgsql,postgresql16Packages.postgis
postgis_restore-3.4.2,postgresql16Packages.postgis
postgis_restore,postgresql16Packages.postgis
postgis-3.4.2,postgresql16Packages.postgis
postgis,postgresql16Packages.postgis
pgtopo_import-3.4.2,postgresql16Packages.postgis
pgtopo_import,postgresql16Packages.postgis
pgtopo_export-3.4.2,postgresql16Packages.postgis
pgtopo_export,postgresql16Packages.postgis
pgsql2shp-3.4.2,postgresql16Packages.postgis
pgsql2shp,postgresql16Packages.postgis
newaliases,postfix
mailq,postfix
polyimport,polyml
polyc,polyml
poly,polyml
polybar-msg,polybar
pm-suspend-hybrid,pmutils
pm-suspend,pmutils
pm-hibernate,pmutils
graph,graph-cli
updatedb,mlocate
pleroma_ctl,pleroma
plasmatube,kdePackages.plasmatube
xembedsniproxy,libsForQt5.plasma-workspace
startplasma-x11,libsForQt5.plasma-workspace
startplasma-wayland,libsForQt5.plasma-workspace
plasmawindowed,libsForQt5.plasma-workspace
plasmashell,kdePackages.plasma-workspace
plasma_waitforname,libsForQt5.plasma-workspace
plasma_session,kdePackages.plasma-workspace
plasma-shutdown,libsForQt5.plasma-workspace
plasma-localegen-helper,kdePackages.plasma-workspace
plasma-interactiveconsole,kdePackages.plasma-workspace
plasma-apply-wallpaperimage,libsForQt5.plasma-workspace
plasma-apply-lookandfeel,kdePackages.plasma-workspace
plasma-apply-desktoptheme,kdePackages.plasma-workspace
plasma-apply-cursortheme,kdePackages.plasma-workspace
plasma-apply-colorscheme,kdePackages.plasma-workspace
lookandfeeltool,kdePackages.plasma-workspace
ksplashqml,kdePackages.plasma-workspace
ksmserver,kdePackages.plasma-workspace
krunner,libsForQt5.plasma-workspace
kfontview,libsForQt5.plasma-workspace
kfontinst,kdePackages.plasma-workspace
kde-systemd-start-condition,kdePackages.plasma-workspace
kcolorschemeeditor,kdePackages.plasma-workspace
kcminit_startup,kdePackages.plasma-workspace
kcminit,kdePackages.plasma-workspace
gmenudbusmenuproxy,libsForQt5.plasma-workspace
plasma-welcome,kdePackages.plasma-welcome
plasma-systemmonitor,libsForQt5.plasma-systemmonitor
plasmoidviewer,libsForQt5.plasma-sdk
plasmathemeexplorer,kdePackages.plasma-sdk
plasmaengineexplorer,kdePackages.plasma-sdk
lookandfeelexplorer,kdePackages.plasma-sdk
plasma-browser-integration-host,kdePackages.plasma-browser-integration
startplasmamobile,kdePackages.plasma-mobile
tastenbrett,kdePackages.plasma-desktop
solid-action-desktop-gen,libsForQt5.plasma-desktop
plasma-emojier,kdePackages.plasma-desktop
krunner-plugininstaller,libsForQt5.plasma-desktop
knetattach,kdePackages.plasma-desktop
kcm-touchpad-list-devices,kdePackages.plasma-desktop
kapplymousetheme,libsForQt5.plasma-desktop
kaccess,kdePackages.plasma-desktop
spa-monitor,pipewire
spa-inspect,pipewire
speak,espeak
pinentry,pinentry-all
pinentry-gtk-2,pinentry-gtk2
sieveeditor,kdePackages.pim-sieve-editor
pimdataexporterconsole,kdePackages.pim-data-exporter
pimdataexporter,libsForQt5.pim-data-exporter
picom-trans,picom
compton-trans,picom
compton,picom
picmi,kdePackages.picmi
phpstan,php83Packages.phpstan
phpmd,php83Packages.phpmd
test_physfs,physfs
phpinsights,php83Packages.phpinsights
phpdbg,php83
php-fpm,php
php-cgi,php
phar.phar,php
phar,php83
pecl,php
peardev,php
pear,php
parallel-lint,php83Packages.php-parallel-lint
php-cs-fixer,php83Packages.php-cs-fixer
phpcs,php83Packages.php-codesniffer
phpcbf,php83Packages.php-codesniffer
phononsettings,kdePackages.phonon
phing,php83Packages.phing
phive,php83Packages.phive
tocheckstyle,php83Packages.phan
phan_client,php83Packages.phan
phan,php83Packages.phan
pg_repack,postgresql16Packages.pg_repack
pg_autoctl,postgresql16Packages.pg_auto_failover
yancy,perl538Packages.Yancy
pgadmin4-cli,pgadmin4
zonemaster-cli,perl538Packages.ZonemasterCLI
yamlpp-parse-emit,perl536Packages.YAMLPP
yamlpp-load-dump,perl536Packages.YAMLPP
yamlpp-load,perl536Packages.YAMLPP
yamlpp-highlight,perl538Packages.YAMLPP
yamlpp-events,perl536Packages.YAMLPP
xml_grep,perl536Packages.XMLTwig
xpath,perl536Packages.XMLXPath
xml2XMLRules.pl,perl536Packages.XMLRules
dtd2XMLRules.pl,perl538Packages.XMLRules
xmlpretty,perl536Packages.XMLHandlerYAWriter
youtube-viewer,perl536Packages.WWWYoutubeViewer
xmlsort,perl536Packages.XMLFilterSort
make_encmap,perl538Packages.XMLEncoding
compile_encoding,perl538Packages.XMLEncoding
download-entities.pl,perl538Packages.XMLEntities
wxperl_overload,perl536Packages.Wx
mech-dump,perl538Packages.WWWMechanize
checklink,perl536Packages.W3CLinkChecker
sync_to_snapshot.pl,perl538Packages.VMEC2
migrate-ebs-image.pl,perl538Packages.VMEC2
urifind,perl538Packages.URIFind
widget,perl536Packages.Tk
tkjpeg,perl538Packages.Tk
ptksh,perl536Packages.Tk
ptked,perl536Packages.Tk
gedi,perl536Packages.Tk
statistic.pl,perl538Packages.TextNSP
rank.pl,perl536Packages.TextNSP
kocos.pl,perl536Packages.TextNSP
huge-split.pl,perl538Packages.TextNSP
huge-sort.pl,perl538Packages.TextNSP
huge-merge.pl,perl538Packages.TextNSP
huge-delete.pl,perl538Packages.TextNSP
huge-count.pl,perl538Packages.TextNSP
find-compounds.pl,perl538Packages.TextNSP
count2huge.pl,perl538Packages.TextNSP
count.pl,perl538Packages.TextNSP
combig.pl,perl536Packages.TextNSP
Markdown.pl,perl536Packages.TextMarkdown
MultiMarkdown.pl,perl536Packages.TextMultiMarkdown
pdfstamp,perl538Packages.TextPDF
pdfrevert,perl538Packages.TextPDF
pdfbklt,perl536Packages.TextPDF
reflow,perl536Packages.TextReflow
tabmerge,perl536Packages.TextRecordParser
tablify,perl538Packages.TextRecordParser
tab2graph,perl536Packages.TextRecordParser
dumpnames,perl538Packages.TextBibTeX
bibparse,perl538Packages.TextBibTeX
biblex,perl536Packages.TextBibTeX
test-yaml,perl538Packages.TestYAML
yath,perl538Packages.Test2Harness
runprove,perl538Packages.TestRunCmdLine
scan_mojibake,perl538Packages.TestMojibake
kwalitee-metrics,perl536Packages.TestKwalitee
perlsh,perl538Packages.TermReadLineGnu
ttree,perl536Packages.TemplateToolkit
tpage,perl536Packages.TemplateToolkit
widgetTclpTk,perl536Packages.TclpTk
pg_tapgen,perl538Packages.TAPParserSourceHandlerpgTAP
pg_prove,perl536Packages.TAPParserSourceHandlerpgTAP
swim,perl538Packages.Swim
shell-quote,perl536Packages.StringShellQuote
strip-nondeterminism,perl536Packages.strip-nondeterminism
mkpasswd.pl,perl538Packages.StringMkPasswd
starman,perl538Packages.Starman
sql-split,perl536Packages.SQLSplitStatement
chartex,perl536Packages.SpreadsheetWriteExcel
stemmer-no.pl,perl536Packages.SnowballNorwegian
stubmaker.pl,perl538Packages.SOAPLite
SOAPsh.pl,perl536Packages.SOAPLite
stemmer-se.pl,perl538Packages.SnowballSwedish
start_server,perl538Packages.ServerStarter
sgmlspl.pl,perl536Packages.SGMLSpm
make_method,perl538Packages.RpcXML
razor-revoke,perl536Packages.Razor2ClientAgent
razor-report,perl536Packages.Razor2ClientAgent
razor-client,perl538Packages.Razor2ClientAgent
razor-check,perl538Packages.Razor2ClientAgent
razor-admin,perl536Packages.Razor2ClientAgent
timed-process,perl536Packages.ProcBackground
podlinkcheck,perl538Packages.podlinkcheck
pod2text,perl
pod2man,perl
podselect,perl536Packages.PodParser
podtidy,perl538Packages.PodTidy
podspell,perl538Packages.PodSpell
podsection,perl536Packages.PodSection
podwrap,perl536Packages.PodWrap
perldoc,perl
pod2latex,perl536Packages.PodLaTeX
podchecker,perlPackages.PodChecker
pomdump,perl536Packages.PodPOM
pom2,perl536Packages.PodPOM
podlint,perl536Packages.PodPOM
pod2markdown,perl536Packages.PodMarkdown
pod2github,perl538Packages.PodMarkdownGithub
pod-minimumversion,perl536Packages.PodMinimumVersion
poe-gen-tests,perl536Packages.POETestLoops
pod_cover,perl536Packages.PodCoverage
po4a-updatepo,perl536Packages.Po4a
po4a-translate,perl536Packages.Po4a
po4a-normalize,perl536Packages.Po4a
po4a-gettextize,perl536Packages.Po4a
po4a-display-pod,perl536Packages.Po4a
po4a-display-man,perl536Packages.Po4a
po4a,perl538Packages.Po4a
msguntypot,perl536Packages.Po4a
paf,perl536Packages.PodAbstract
plackup,perl536Packages.Plack
sqlt-graph,perl538Packages.SQLTranslator
sqlt-dumper,perl538Packages.SQLTranslator
sqlt-diff-old,perl536Packages.SQLTranslator
sqlt-diff,perl536Packages.SQLTranslator
sqlt-diagram,perl538Packages.SQLTranslator
sqlt,perl538Packages.SQLTranslator
ppkg-config,perl538Packages.PkgConfig
pkg-config.pl,perl538Packages.PkgConfig
perl-reversion,perl538Packages.PerlVersion
